"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","Discount","PaymentMethod","ShippingCost","Category","SalesChannel","ReturnStatus","ShipmentProvider","WarehouseLocation","OrderPriority"
368787,"SKU_1381","T-shirt",28,"2020-05-17 05:00",95.82,93608,"Spain",0.31,"paypall",9.07,"Apparel","Online","Not Returned","DHL","Berlin","Low"
658408,"SKU_1369","Desk Lamp",43,"2023-10-15 23:00",86.55,57358,"Norway",0.48,"paypall",12.75,"Apparel","Online","Not Returned","Royal Mail","Amsterdam","High"
783297,"SKU_1016","White Mug",46,"2023-10-05 21:00",92.8,33153,"United Kingdom",0.41,"Bank Transfer",17.5,"Apparel","Online","Not Returned","DHL","Paris","Medium"
527289,"SKU_1598","USB Cable",20,"2024-10-01 16:00",86.91,61478,"France",0.07,"Bank Transfer",17.7,"Accessories","Online","Not Returned","UPS","Amsterdam","High"
714641,"SKU_1577","Notebook",17,"2020-05-06 05:00",68.53,73804,"France",0.19,"Credit Card",23.67,"Electronics","Online","Not Returned","FedEx","Rome","Medium"
164065,"SKU_1364","White Mug",1,"2024-12-06 12:00",29.52,70493,"Belgium",0.39,"paypall",16.46,"Furniture","In-store","Not Returned","DHL","Berlin","Low"
663508,"SKU_1561","Wireless Mouse",7,"2021-03-20 14:00",24.7,18551,"Belgium",0.37,"Bank Transfer",11.19,"Furniture","Online","Returned","DHL","Rome","Low"
879593,"SKU_1860","Office Chair",11,"2023-12-19 02:00",90.13,60597,"France",0.33,"Bank Transfer",15.4,"Apparel","Online","Not Returned","FedEx","Rome","Low"
305229,"SKU_1847","USB Cable",9,"2021-10-16 05:00",40.23,12782,"Germany",0.11,"Bank Transfer",10.76,"Apparel","Online","Not Returned","DHL","Amsterdam","Low"
126014,"SKU_1701","T-shirt",41,"2021-11-30 22:00",29.07,58192,"Netherlands",0.21,"Bank Transfer",28.68,"Accessories","Online","Not Returned","DHL","Berlin","High"
355516,"SKU_1744","Desk Lamp",6,"2023-06-08 14:00",72.84,79736,"Spain",0.08,"Bank Transfer",8.52,"Stationery","In-store","Not Returned","FedEx","London","Medium"
340739,"SKU_1423","Backpack",40,"2023-01-20 16:00",16.23,86641,"Portugal",0.22,"Credit Card",7.15,"Stationery","Online","Not Returned","Royal Mail","Rome","High"
776664,"SKU_1109","Wall Clock",38,"2021-02-23 13:00",85.93,88144,"Sweden",0.31,"paypall",11.66,"Stationery","Online","Returned","UPS","Rome","High"
517933,"SKU_1882","USB Cable",24,"2023-11-13 08:00",23.28,97461,"United States",0.46,"Bank Transfer",28.91,"Stationery","Online","Not Returned","UPS","Rome","Low"
133749,"SKU_1581","USB Cable",17,"2023-09-01 09:00",62.78,74402,"Netherlands",0.35,"paypall",7.71,"Apparel","Online","Not Returned","UPS","Berlin","Low"
504427,"SKU_1822","T-shirt",7,"2021-01-03 13:00",13.14,15695,"Netherlands",0.08,"paypall",12.51,"Electronics","Online","Not Returned","FedEx","London","Low"
973321,"SKU_1774","Headphones",36,"2021-09-16 11:00",52.25,26170,"Australia",0.46,"Credit Card",22.79,"Electronics","In-store","Not Returned","Royal Mail","Amsterdam","High"
869589,"SKU_1964","Backpack",2,"2023-02-06 13:00",84.88,98023,"Spain",0.09,"Bank Transfer",16.63,"Apparel","Online","Not Returned","Royal Mail","Rome","High"
141743,"SKU_1470","Desk Lamp",26,"2020-10-13 20:00",67.81,29022,"Germany",0.19,"paypall",12.59,"Apparel","In-store","Not Returned","UPS","Paris","Low"
739629,"SKU_1543","Wall Clock",12,"2022-04-08 15:00",47.29,83316,"Sweden",0.11,"paypall",10.56,"Electronics","Online","Not Returned","DHL","London","Low"
474562,"SKU_1303","Notebook",5,"2023-09-20 21:00",68.74,38479,"Australia",0.06,"Bank Transfer",21.62,"Stationery","Online","Not Returned","Royal Mail","Rome","High"
835158,"SKU_1597","Office Chair",18,"2023-08-25 03:00",93.14,21509,"Netherlands",0.34,"paypall",12.36,"Electronics","In-store","Not Returned","Royal Mail","Berlin","Low"
967856,"SKU_1805","Backpack",33,"2025-03-23 14:00",27.34,33053,"Germany",0.04,"paypall",19.07,"Stationery","In-store","Not Returned","Royal Mail","Amsterdam","High"
748143,"SKU_1873","Blue Pen",21,"2020-01-02 17:00",36.85,89341,"Australia",0.15,"paypall",28.34,"Electronics","In-store","Not Returned","UPS","Berlin","Low"
668596,"SKU_1557","Wall Clock",17,"2021-10-27 06:00",93.72,78978,"Netherlands",0.37,"Bank Transfer",21.31,"Apparel","In-store","Not Returned","UPS","London","Medium"
923124,"SKU_1857","Office Chair",31,"2025-01-31 21:00",33.02,81608,"Germany",0,"Bank Transfer",8.45,"Accessories","In-store","Not Returned","Royal Mail","Rome","Medium"
242429,"SKU_1603","Notebook",11,"2020-12-02 20:00",98.49,60618,"Portugal",0.47,"Bank Transfer",10.54,"Accessories","Online","Not Returned","UPS","Paris","Medium"
845547,"SKU_1049","Wireless Mouse",41,"2025-07-19 08:00",42.47,29954,"Spain",0.34,"Bank Transfer",26.03,"Furniture","In-store","Not Returned","FedEx","Paris","High"
411721,"SKU_1862","Office Chair",23,"2023-08-10 15:00",82.32,98856,"Portugal",0.01,"Credit Card",11.19,"Stationery","Online","Not Returned","UPS","London","Medium"
266129,"SKU_1014","Wall Clock",48,"2021-06-12 15:00",85.63,23813,"Sweden",0.4,"paypall",11.65,"Electronics","In-store","Not Returned","UPS","Rome","Low"
969815,"SKU_1947","Desk Lamp",47,"2025-06-03 23:00",49.04,72126,"Netherlands",0.2,"paypall",28.48,"Apparel","Online","Not Returned","DHL","Berlin","Low"
486895,"SKU_1662","Headphones",24,"2025-06-14 17:00",36.2,85190,"Norway",0,"Bank Transfer",13.79,"Electronics","In-store","Not Returned","UPS","London","Medium"
472598,"SKU_1662","Desk Lamp",37,"2021-07-21 03:00",71.55,77662,"France",0.01,"Credit Card",20.18,"Electronics","Online","Not Returned","UPS","Amsterdam","Medium"
578928,"SKU_1583","Wall Clock",41,"2020-10-10 04:00",32.76,34607,"Norway",0.43,"Bank Transfer",5.16,"Furniture","In-store","Not Returned","DHL","Paris","High"
421373,"SKU_1566","Backpack",9,"2024-03-31 01:00",4.51,78244,"Netherlands",0.08,"Credit Card",9.15,"Furniture","In-store","Not Returned","Royal Mail","London","Medium"
549158,"SKU_1166","Backpack",2,"2022-10-02 14:00",80.57,30808,"Belgium",0.21,"paypall",25.15,"Stationery","In-store","Returned","UPS","Amsterdam","Low"
690974,"SKU_1577","Backpack",40,"2025-01-19 03:00",56.88,82206,"Germany",0.05,"paypall",5.08,"Accessories","Online","Not Returned","Royal Mail","London","High"
446229,"SKU_1375","Wireless Mouse",48,"2021-03-20 12:00",31,78693,"Netherlands",0.45,"Bank Transfer",17.84,"Electronics","Online","Not Returned","FedEx","Paris","High"
878755,"SKU_1125","Desk Lamp",39,"2022-06-28 17:00",38.91,96618,"Spain",0.49,"paypall",9.61,"Stationery","Online","Not Returned","DHL","Berlin","Low"
432548,"SKU_1550","Wireless Mouse",42,"2021-03-05 20:00",26.59,30299,"United Kingdom",0.11,"Credit Card",22.93,"Electronics","Online","Not Returned","DHL","London","Medium"
835043,"SKU_1024","White Mug",30,"2023-05-08 20:00",39.7,55028,"Netherlands",0.36,"Bank Transfer",28.04,"Stationery","In-store","Not Returned","FedEx","London","Medium"
800662,"SKU_1298","Wall Clock",41,"2022-08-24 04:00",63.97,33906,"Belgium",0.21,"paypall",20.29,"Electronics","In-store","Not Returned","UPS","Amsterdam","High"
489027,"SKU_1163","Wall Clock",18,"2021-10-26 05:00",58.27,34741,"Spain",0.12,"Bank Transfer",7.24,"Electronics","Online","Not Returned","UPS","Berlin","Low"
553510,"SKU_1570","Headphones",12,"2020-10-02 12:00",31.43,98829,"Netherlands",0.21,"Bank Transfer",29.75,"Accessories","In-store","Not Returned","UPS","London","High"
476920,"SKU_1794","Wireless Mouse",9,"2025-06-23 20:00",67.99,12898,"Australia",0.01,"paypall",23.99,"Apparel","Online","Not Returned","DHL","London","High"
190037,"SKU_1060","Wall Clock",31,"2023-08-23 22:00",24.08,81151,"Sweden",0.16,"paypall",8.83,"Apparel","In-store","Not Returned","DHL","Berlin","High"
449117,"SKU_1223","Desk Lamp",27,"2023-05-24 06:00",33.44,64612,"Sweden",0.36,"paypall",7.82,"Electronics","Online","Not Returned","UPS","Paris","Medium"
657647,"SKU_1682","Wireless Mouse",11,"2021-07-09 10:00",55.66,14423,"Sweden",0.2,"Bank Transfer",18.57,"Stationery","Online","Not Returned","Royal Mail","London","Medium"
